filename,group,annotation_instruction,species_id,scientific_name,gbif_occurrence_key,media_url,license,rights_holder,creator,identified_by,event_date,country,locality,gbif_url,source_path
coral_RA.BO_Ramaria_botrytis_5898621396.jpg,coral,Annotate visible coral fruiting body as Coral; no Cap/Stem/Underside unless clearly separate.,RA.BO,Ramaria botrytis,5898621396,https://svampe.databasen.org/uploads/2025-10528030_H1HjYFTtlx.JPG,http://creativecommons.org/licenses/by-nc/4.0/legalcode,emil christensen,emil christensen,emil christensen,2025-08-28,Denmark,Dronning Dagmars Kilde,https://www.gbif.org/occurrence/5898621396,
coral_RA.BO_Ramaria_botrytis_5898622408.jpg,coral,Annotate visible coral fruiting body as Coral; no Cap/Stem/Underside unless clearly separate.,RA.BO,Ramaria botrytis,5898622408,https://svampe.databasen.org/uploads/2025-10524883_ryAr4V9ugg.JPG,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Hans Harald,Hans Harald,Hans Harald,2025-08-13,Denmark,Munkebjerg,https://www.gbif.org/occurrence/5898622408,
coral_RA.BO_Ramaria_botrytis_5898665581.jpg,coral,Annotate visible coral fruiting body as Coral; no Cap/Stem/Underside unless clearly separate.,RA.BO,Ramaria botrytis,5898665581,https://svampe.databasen.org/uploads/2025-10523342_Hy33p6Vdxe.JPG,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Torbjørn Borgen,Torbjørn Borgen,Mona Rasmussen,2025-08-07,Denmark,Munkholm Skov (Mariager Lystskov),https://www.gbif.org/occurrence/5898665581,
coral_RA.BO_Ramaria_botrytis_5898671282.jpg,coral,Annotate visible coral fruiting body as Coral; no Cap/Stem/Underside unless clearly separate.,RA.BO,Ramaria botrytis,5898671282,https://svampe.databasen.org/uploads/2025-10528974_HyfsR9Mqex.JPG,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Poul Evald Hansen,Poul Evald Hansen,Poul Evald Hansen,2025-08-31,Denmark,"Gribskov, Hvidekilde",https://www.gbif.org/occurrence/5898671282,
coral_RA.BO_Ramaria_botrytis_5898645194.jpg,coral,Annotate visible coral fruiting body as Coral; no Cap/Stem/Underside unless clearly separate.,RA.BO,Ramaria botrytis,5898645194,https://svampe.databasen.org/uploads/2025-10530883_HkyQl5n5el.JPG,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Rita Forup,Rita Forup,Rita Forup,2025-09-08,Denmark,Tromnæs,https://www.gbif.org/occurrence/5898645194,
coral_RA.BO_Ramaria_botrytis_5898648058.jpg,coral,Annotate visible coral fruiting body as Coral; no Cap/Stem/Underside unless clearly separate.,RA.BO,Ramaria botrytis,5898648058,https://svampe.databasen.org/uploads/2025-10539614_r1aAZPV3lg.JPG,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Morten Strandberg,Morten Strandberg,Morten Strandberg,2025-09-26,Denmark,"Indelukket, Silkeborg (Remstrup Å)",https://www.gbif.org/occurrence/5898648058,
coral_RA.BO_Ramaria_botrytis_5898655380.jpg,coral,Annotate visible coral fruiting body as Coral; no Cap/Stem/Underside unless clearly separate.,RA.BO,Ramaria botrytis,5898655380,https://svampe.databasen.org/uploads/2025-10534343_B1QID8Dsgx.JPG,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Jacob Schmidt,Jacob Schmidt,Jacob Schmidt,2025-09-16,Denmark,"Hornbæk Plantage, Nordsjælland",https://www.gbif.org/occurrence/5898655380,
coral_RA.BO_Ramaria_botrytis_5898659561.jpg,coral,Annotate visible coral fruiting body as Coral; no Cap/Stem/Underside unless clearly separate.,RA.BO,Ramaria botrytis,5898659561,https://svampe.databasen.org/uploads/2025-10533196_BkWjXMVjxl.JPG,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Bente Neerbek,Bente Neerbek,Bente Neerbek,2025-09-14,Denmark,"Gribskov, Hvidekilde",https://www.gbif.org/occurrence/5898659561,
coral_RA.BO_Ramaria_botrytis_5898622027.jpg,coral,Annotate visible coral fruiting body as Coral; no Cap/Stem/Underside unless clearly separate.,RA.BO,Ramaria botrytis,5898622027,https://svampe.databasen.org/uploads/2025-10547466_HkCaPlv6gg.JPG,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Ole Martin,Ole Martin,Ole Martin,2025-10-10,Denmark,Teglstrup Hegn,https://www.gbif.org/occurrence/5898622027,
coral_RA.BO_Ramaria_botrytis_4940914092.jpg,coral,Annotate visible coral fruiting body as Coral; no Cap/Stem/Underside unless clearly separate.,RA.BO,Ramaria botrytis,4940914092,https://svampe.databasen.org/uploads/2024-10445503_Bkes3i6diA.JPG,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Jakob S.M Raarup,Jakob S.M Raarup,Jakob S.M Raarup,2024-08-25,Denmark,"Gribskov, Hvidekilde",https://www.gbif.org/occurrence/4940914092,
coral_RA.BO_Ramaria_botrytis_4940918275.jpg,coral,Annotate visible coral fruiting body as Coral; no Cap/Stem/Underside unless clearly separate.,RA.BO,Ramaria botrytis,4940918275,https://svampe.databasen.org/uploads/2024-10445694_H1M0sdTKi0.JPG,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Ole Martin,Ole Martin,Ole Martin,2024-08-25,Denmark,Teglstrup Hegn,https://www.gbif.org/occurrence/4940918275,
coral_RA.BO_Ramaria_botrytis_4940927780.jpg,coral,Annotate visible coral fruiting body as Coral; no Cap/Stem/Underside unless clearly separate.,RA.BO,Ramaria botrytis,4940927780,https://svampe.databasen.org/uploads/2024-10447397_Hkg4T-WhR.JPG,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Mie Trier,Mie Trier,Torbjørn Borgen,2024-08-31,Denmark,"Gribskov, Hvidekilde",https://www.gbif.org/occurrence/4940927780,
coral_RA.BO_Ramaria_botrytis_4940909065.jpg,coral,Annotate visible coral fruiting body as Coral; no Cap/Stem/Underside unless clearly separate.,RA.BO,Ramaria botrytis,4940909065,https://svampe.databasen.org/uploads/2024-10447785_HJq-IeQhC.JPG,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Bo Valeur,Bo Valeur,Bo Valeur,2024-09-02,Denmark,Aldershvile Slotspark,https://www.gbif.org/occurrence/4940909065,
coral_RA.BO_Ramaria_botrytis_4940915617.jpg,coral,Annotate visible coral fruiting body as Coral; no Cap/Stem/Underside unless clearly separate.,RA.BO,Ramaria botrytis,4940915617,https://svampe.databasen.org/uploads/2024-10451227_ByxtB3fETR.JPG,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Ole Martin,Ole Martin,Ole Martin,2024-09-14,Denmark,"Gribskov, Hvidekilde",https://www.gbif.org/occurrence/4940915617,
coral_RA.BO_Ramaria_botrytis_4940918803.jpg,coral,Annotate visible coral fruiting body as Coral; no Cap/Stem/Underside unless clearly separate.,RA.BO,Ramaria botrytis,4940918803,https://svampe.databasen.org/uploads/2024-10451345_H1D0XPE60.JPG,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Ole Bidstrup,Ole Bidstrup,Ole Bidstrup,2024-09-13,Denmark,Ganløse Ore,https://www.gbif.org/occurrence/4940918803,
coral_RA.BO_Ramaria_botrytis_4940922986.jpg,coral,Annotate visible coral fruiting body as Coral; no Cap/Stem/Underside unless clearly separate.,RA.BO,Ramaria botrytis,4940922986,https://svampe.databasen.org/uploads/2024-10451549_rJR929VTA.JPG,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Ole Jeppesen,Ole Jeppesen,Ole Jeppesen,2024-09-15,Denmark,Tokkekøb Hegn,https://www.gbif.org/occurrence/4940922986,
coral_RA.BO_Ramaria_botrytis_5052256696.jpg,coral,Annotate visible coral fruiting body as Coral; no Cap/Stem/Underside unless clearly separate.,RA.BO,Ramaria botrytis,5052256696,https://svampe.databasen.org/uploads/2024-10454488_By3oEJJCA.JPG,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Morten Larsen,Morten Larsen,Morten Larsen,2024-09-23,Denmark,"Indelukket, Silkeborg (Remstrup Å)",https://www.gbif.org/occurrence/5052256696,
coral_RA.BO_Ramaria_botrytis_5052279312.jpg,coral,Annotate visible coral fruiting body as Coral; no Cap/Stem/Underside unless clearly separate.,RA.BO,Ramaria botrytis,5052279312,https://svampe.databasen.org/uploads/2024-10452632_ryxwgnYpC.JPG,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Morten Strandberg,Morten Strandberg,Morten Strandberg,2024-09-19,Denmark,"Indelukket, Silkeborg (Remstrup Å)",https://www.gbif.org/occurrence/5052279312,
