category,group,review_index,source_path,export_filename,selection_rule
coral,coral,0,data/Yolov8/Manual_annotation/basic_coral_RA.PA_Ramaria_pallida_10.jpg,coral__coral__000__basic_coral_RA.PA_Ramaria_pallida_10.jpg,single visible mushroom / fruiting body; visually reviewed from contact sheet
coral,coral,1,data/Yolov8/Manual_annotation/basic_coral_RA.PA_Ramaria_pallida_26.jpg,coral__coral__001__basic_coral_RA.PA_Ramaria_pallida_26.jpg,single visible mushroom / fruiting body; visually reviewed from contact sheet
coral,coral,2,data/Yolov8/Manual_annotation/basic_coral_RA.PA_Ramaria_pallida_3.jpg,coral__coral__002__basic_coral_RA.PA_Ramaria_pallida_3.jpg,single visible mushroom / fruiting body; visually reviewed from contact sheet
coral,coral,3,data/Yolov8/Manual_annotation/basic_coral_ramaria_botrytis_Ramaria_botrytis_1.jpg,coral__coral__003__basic_coral_ramaria_botrytis_Ramaria_botrytis_1.jpg,single visible mushroom / fruiting body; visually reviewed from contact sheet
coral,coral,4,data/Yolov8/Manual_annotation/coral_RA.BO_Ramaria_botrytis_4465861028.jpg,coral__coral__004__coral_RA.BO_Ramaria_botrytis_4465861028.jpg,single visible mushroom / fruiting body; visually reviewed from contact sheet
coral,coral,5,data/Yolov8/Manual_annotation/coral_RA.BO_Ramaria_botrytis_4465861118.jpg,coral__coral__005__coral_RA.BO_Ramaria_botrytis_4465861118.jpg,single visible mushroom / fruiting body; visually reviewed from contact sheet
coral,coral,6,data/Yolov8/Manual_annotation/coral_RA.BO_Ramaria_botrytis_4465861251.jpg,coral__coral__006__coral_RA.BO_Ramaria_botrytis_4465861251.jpg,single visible mushroom / fruiting body; visually reviewed from contact sheet
coral,coral,7,data/Yolov8/Manual_annotation/coral_RA.BO_Ramaria_botrytis_4465862206.jpg,coral__coral__007__coral_RA.BO_Ramaria_botrytis_4465862206.jpg,single visible mushroom / fruiting body; visually reviewed from contact sheet
coral,coral,8,data/Yolov8/Manual_annotation/coral_RA.BO_Ramaria_botrytis_4465862287.jpg,coral__coral__008__coral_RA.BO_Ramaria_botrytis_4465862287.jpg,single visible mushroom / fruiting body; visually reviewed from contact sheet
coral,coral,11,data/Yolov8/Manual_annotation/coral_RA.BO_Ramaria_botrytis_4940909065.jpg,coral__coral__011__coral_RA.BO_Ramaria_botrytis_4940909065.jpg,single visible mushroom / fruiting body; visually reviewed from contact sheet
coral,coral,13,data/Yolov8/Manual_annotation/coral_RA.BO_Ramaria_botrytis_4940915617.jpg,coral__coral__013__coral_RA.BO_Ramaria_botrytis_4940915617.jpg,single visible mushroom / fruiting body; visually reviewed from contact sheet
coral,coral,14,data/Yolov8/Manual_annotation/coral_RA.BO_Ramaria_botrytis_4940918275.jpg,coral__coral__014__coral_RA.BO_Ramaria_botrytis_4940918275.jpg,single visible mushroom / fruiting body; visually reviewed from contact sheet
