specimen_id,species_id,scenario,view,notes,brightness,cap_color,cap_shape,cap_surface,clustered_growth,coarse_case,colour_ratios.brown,colour_ratios.dark,colour_ratios.orange_red,colour_ratios.orange_yellow,colour_ratios.red,colour_ratios.white,coral_branching,detected_parts,dominant_color,has_ridges,hymenophore_type,mask_used,morphology_case,puffball_surface,secondary_color,stem_color,stem_ring,stem_surface,surface_texture,trait_confidence.cap_aspect_ratio,trait_confidence.cap_brightness,trait_confidence.cap_circularity,trait_confidence.cap_color,trait_confidence.cap_colour_ratios,trait_confidence.cap_secondary_color,trait_confidence.cap_shape,trait_confidence.cap_surface,trait_confidence.coral_branch_density,trait_confidence.coral_branching,trait_confidence.coral_brightness,trait_confidence.coral_color,trait_confidence.coral_endpoints,trait_confidence.coral_junctions,trait_confidence.hymenophore_confidence,trait_confidence.hymenophore_type,trait_confidence.puffball_aspect_ratio,trait_confidence.puffball_brightness,trait_confidence.puffball_roundness,trait_confidence.puffball_surface,trait_confidence.stem_aspect_ratio,trait_confidence.stem_brightness,trait_confidence.stem_color,trait_confidence.stem_ring,trait_confidence.stem_surface,trait_confidence.stem_thickness,trait_confidence.underside_color,trait_confidence.whole_color,trait_source_by_key.cap_aspect_ratio,trait_source_by_key.cap_brightness,trait_source_by_key.cap_circularity,trait_source_by_key.cap_color,trait_source_by_key.cap_colour_ratios,trait_source_by_key.cap_secondary_color,trait_source_by_key.cap_shape,trait_source_by_key.cap_surface,trait_source_by_key.coral_branch_density,trait_source_by_key.coral_branching,trait_source_by_key.coral_brightness,trait_source_by_key.coral_color,trait_source_by_key.coral_endpoints,trait_source_by_key.coral_junctions,trait_source_by_key.hymenophore_confidence,trait_source_by_key.hymenophore_type,trait_source_by_key.puffball_aspect_ratio,trait_source_by_key.puffball_brightness,trait_source_by_key.puffball_roundness,trait_source_by_key.puffball_surface,trait_source_by_key.stem_aspect_ratio,trait_source_by_key.stem_brightness,trait_source_by_key.stem_color,trait_source_by_key.stem_ring,trait_source_by_key.stem_surface,trait_source_by_key.stem_thickness,trait_source_by_key.underside_color,trait_source_by_key.whole_color,underside_color,whole_color
AG.AU_001,AG.AU,ood,above,paired above_idx=2 below_idx=3; ood;cap;gills;stem; source=Svampeatlas/GBIF; occurrence=5898623767; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,bright,white,unknown,fibrous,False,coral,0.023,0.0,0.0,0.13,0.005,0.602,unknown,"['cap', 'coral']",white,False,unknown,True,coral,smooth,white,unknown,unknown,unknown,fibrous,0.349,0.349,0.349,0.349,0.349,0.349,0.349,0.349,0.128,0.128,0.128,0.128,0.128,0.128,,,0.375,0.375,0.375,0.375,,,,,,,,0.375,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_coral_mask,yolo_coral_mask,yolo_coral_mask,yolo_coral_mask,yolo_coral_mask,yolo_coral_mask,,,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,,,,,,,,yolo_whole_mask,unknown,white
AG.AU_001,AG.AU,ood,below,paired above_idx=2 below_idx=3; ood;cap;gills;stem; source=Svampeatlas/GBIF; occurrence=5898623767; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,,wavy,,,uncertain,0.068,0.138,0.0,0.105,0.004,0.201,,[],tan,True,,False,uncertain,,olive-brown,,,,fibrous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM.MU_004,AM.MU,confusing,above,paired above_idx=1 below_idx=2; toxic;cap;spots;stem; source=Svampeatlas/GBIF; occurrence=5898624502; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,bright,red,unknown,smooth,False,classical,0.303,0.0,0.12,0.551,0.957,0.007,unknown,['cap'],red,False,unknown,True,uncertain,smooth,red,unknown,unknown,unknown,smooth,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808,,,,,,,,,0.75,0.75,0.75,0.75,,,,,,,,0.75,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,,,,,,,,,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,,,,,,,,yolo_whole_mask,unknown,red
AM.MU_004,AM.MU,confusing,below,paired above_idx=1 below_idx=2; toxic;cap;spots;stem; source=Svampeatlas/GBIF; occurrence=5898624502; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,,wavy,,,uncertain,0.075,0.217,0.005,0.064,0.036,0.055,,[],olive-brown,True,,False,uncertain,,grey,,,,scaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM.VI_007,AM.VI,confusing,above,paired above_idx=1 below_idx=2; extremely_toxic;white;gills;stem; source=Svampeatlas/GBIF; occurrence=5898622730; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,bright,tan,unknown,smooth,False,classical,0.043,0.001,0.005,0.136,0.017,0.556,unknown,"['cap', 'stem']",tan,False,unknown,True,classical_unknown,smooth,tan,orange,absent,smooth,smooth,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,,,,,,,,,0.0,0.0,0.0,0.0,0.251,0.251,0.251,0.251,0.251,0.251,,0.0,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,,,,,,,,,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,,yolo_whole_mask,unknown,tan
AM.VI_007,AM.VI,confusing,below,paired above_idx=1 below_idx=2; extremely_toxic;white;gills;stem; source=Svampeatlas/GBIF; occurrence=5898622730; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,bright,tan,unknown,unknown,False,classical,0.0,0.0,0.0,0.0,0.0,0.0,unknown,"['stem', 'underside']",tan,False,gills,True,uncertain,smooth,tan,white,present,smooth,smooth,,,,,,,,,,,,,,,0.534,0.534,0.0,0.0,0.0,0.0,0.053,0.053,0.053,0.053,0.053,0.053,0.534,0.0,,,,,,,,,,,,,,,yolo_underside_mask,yolo_underside_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_underside_mask,yolo_whole_mask,tan,tan
BO.BA_010,BO.BA,confusing,above,paired above_idx=2 below_idx=1; bolete;pores;brown_cap; source=Svampeatlas/GBIF; occurrence=5898619230; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,bright,red,wavy,fibrous,False,classical,0.507,0.005,0.333,0.225,0.482,0.068,unknown,['cap'],red,False,unknown,True,uncertain,smooth,red,unknown,unknown,unknown,fibrous,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,,,,,,,,,0.75,0.75,0.75,0.75,,,,,,,,0.75,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,,,,,,,,,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,,,,,,,,yolo_whole_mask,unknown,red
BO.BA_010,BO.BA,confusing,below,paired above_idx=2 below_idx=1; bolete;pores;brown_cap; source=Svampeatlas/GBIF; occurrence=5898619230; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,bright,white,wavy,fibrous,False,classical,0.014,0.007,0.0,0.076,0.007,0.512,unknown,"['cap', 'stem']",white,False,unknown,True,classical_unknown,smooth,olive-brown,red,present,smooth,fibrous,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,,,,,,,,,0.0,0.0,0.0,0.0,0.071,0.071,0.071,0.071,0.071,0.071,,0.0,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,,,,,,,,,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,,yolo_whole_mask,unknown,tan
BO.ED_013,BO.ED,confusing,above,paired above_idx=2 below_idx=1; bolete;pores;edible; source=Svampeatlas/GBIF; occurrence=5898618342; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,bright,olive-brown,unknown,smooth,False,classical,0.268,0.001,0.02,0.275,0.036,0.14,unknown,['cap'],olive-brown,False,unknown,True,uncertain,smooth,orange,unknown,unknown,unknown,smooth,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,,,,,,,,,0.75,0.75,0.75,0.75,,,,,,,,0.75,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,,,,,,,,,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,,,,,,,,yolo_whole_mask,unknown,olive-brown
BO.ED_013,BO.ED,confusing,below,paired above_idx=2 below_idx=1; bolete;pores;edible; source=Svampeatlas/GBIF; occurrence=5898618342; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,olive-brown,unknown,unknown,False,classical,0.0,0.0,0.0,0.0,0.0,0.0,unknown,['underside'],olive-brown,False,gills,True,uncertain,smooth,olive-brown,unknown,unknown,unknown,smooth,,,,,,,,,,,,,,,0.097,0.097,0.251,0.251,0.251,0.251,,,,,,,0.097,0.251,,,,,,,,,,,,,,,yolo_underside_mask,yolo_underside_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,,,,,,,yolo_underside_mask,yolo_whole_mask,olive-brown,olive-brown
