specimen_id,species_id,scenario,view,notes,brightness,cap_shape,colour_ratios.brown,colour_ratios.dark,colour_ratios.orange_red,colour_ratios.orange_yellow,colour_ratios.red,colour_ratios.white,dominant_color,has_ridges,secondary_color,surface_texture
AG.AU_001,AG.AU,ood,above,paired above_idx=2 below_idx=3; ood;cap;gills;stem; source=Svampeatlas/GBIF; occurrence=5898623767; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,convex,0.104,0.115,0.0,0.105,0.004,0.3,tan,True,olive-brown,fibrous
AG.AU_001,AG.AU,ood,below,paired above_idx=2 below_idx=3; ood;cap;gills;stem; source=Svampeatlas/GBIF; occurrence=5898623767; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,wavy,0.067,0.138,0.0,0.101,0.004,0.2,tan,True,olive-brown,fibrous
AM.MU_004,AM.MU,confusing,above,paired above_idx=1 below_idx=2; toxic;cap;spots;stem; source=Svampeatlas/GBIF; occurrence=5898624502; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,wavy,0.075,0.119,0.018,0.115,0.135,0.041,grey,True,grey,fibrous
AM.MU_004,AM.MU,confusing,below,paired above_idx=1 below_idx=2; toxic;cap;spots;stem; source=Svampeatlas/GBIF; occurrence=5898624502; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,wavy,0.073,0.221,0.005,0.064,0.037,0.055,olive-brown,True,grey,scaly
AM.VI_007,AM.VI,confusing,above,paired above_idx=1 below_idx=2; extremely_toxic;white;gills;stem; source=Svampeatlas/GBIF; occurrence=5898622730; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,wavy,0.322,0.257,0.049,0.161,0.07,0.14,orange,True,olive-brown,smooth
AM.VI_007,AM.VI,confusing,below,paired above_idx=1 below_idx=2; extremely_toxic;white;gills;stem; source=Svampeatlas/GBIF; occurrence=5898622730; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,bell-shaped,0.241,0.354,0.019,0.127,0.051,0.095,olive-brown,True,black,smooth
BO.BA_010,BO.BA,confusing,above,paired above_idx=2 below_idx=1; bolete;pores;brown_cap; source=Svampeatlas/GBIF; occurrence=5898619230; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,wavy,0.077,0.108,0.039,0.089,0.057,0.045,yellow-green,True,yellow-green,smooth
BO.BA_010,BO.BA,confusing,below,paired above_idx=2 below_idx=1; bolete;pores;brown_cap; source=Svampeatlas/GBIF; occurrence=5898619230; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,wavy,0.072,0.13,0.003,0.107,0.038,0.08,yellow-green,True,yellow-green,fibrous
BO.ED_013,BO.ED,confusing,above,paired above_idx=2 below_idx=1; bolete;pores;edible; source=Svampeatlas/GBIF; occurrence=5898618342; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,wavy,0.177,0.063,0.004,0.213,0.009,0.045,yellow-green,True,yellow,fibrous
BO.ED_013,BO.ED,confusing,below,paired above_idx=2 below_idx=1; bolete;pores;edible; source=Svampeatlas/GBIF; occurrence=5898618342; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,wavy,0.154,0.102,0.004,0.137,0.017,0.127,yellow,True,white,fibrous
CA.CI_016,CA.CI,confusing,above,paired above_idx=2 below_idx=1; chanterelle;folds;yellow; source=Svampeatlas/GBIF; occurrence=5898634658; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,wavy,0.168,0.165,0.001,0.177,0.007,0.029,yellow,True,olive-brown,scaly
CA.CI_016,CA.CI,confusing,below,paired above_idx=2 below_idx=1; chanterelle;folds;yellow; source=Svampeatlas/GBIF; occurrence=5898634658; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,wavy,0.124,0.2,0.002,0.152,0.002,0.084,olive-brown,True,olive-brown,smooth
CA.TU_047,CA.TU,ood,above,paired above_idx=1 below_idx=2; funnel_chanterelle;folds;hollow_stem; source=Svampeatlas/GBIF; occurrence=5898631275; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,wavy,0.103,0.119,0.007,0.205,0.028,0.02,black,True,yellow,fibrous
CA.TU_047,CA.TU,ood,below,paired above_idx=1 below_idx=2; funnel_chanterelle;folds;hollow_stem; source=Svampeatlas/GBIF; occurrence=5898631275; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,wavy,0.061,0.15,0.002,0.155,0.014,0.022,yellow-green,True,yellow,fibrous
CAL.GI_051,CAL.GI,puffball,above,paired above_idx=1 below_idx=1; puffball has no underside view; above image intentionally reused for below; source=Svampeatlas/GBIF; occurrence=5106485911,medium,wavy,0.021,0.15,0.0,0.074,0.002,0.077,olive-brown,True,grey,scaly
CAL.GI_051,CAL.GI,puffball,below,paired above_idx=1 below_idx=1; puffball has no underside view; above image intentionally reused for below; source=Svampeatlas/GBIF; occurrence=5106485911,medium,wavy,0.021,0.15,0.0,0.074,0.002,0.077,olive-brown,True,grey,scaly
CO.CO_031,CO.CO,edge_case,above,paired above_idx=2 below_idx=1; inkcap;gills;edge_case_age; source=Svampeatlas/GBIF; occurrence=5898627048; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,flat,0.092,0.391,0.004,0.095,0.012,0.05,olive-brown,True,olive-brown,scaly
CO.CO_031,CO.CO,edge_case,below,paired above_idx=2 below_idx=1; inkcap;gills;edge_case_age; source=Svampeatlas/GBIF; occurrence=5898627048; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,flat,0.083,0.484,0.005,0.147,0.003,0.066,black,True,olive-brown,smooth
CR.CO_033,CR.CO,confusing,above,paired above_idx=1 below_idx=2; trumpet;dark;funnel; source=Svampeatlas/GBIF; occurrence=5052247678; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,dark,wavy,0.121,0.443,0.005,0.032,0.004,0.0,black,True,olive-brown,fibrous
CR.CO_033,CR.CO,confusing,below,paired above_idx=1 below_idx=2; trumpet;dark;funnel; source=Svampeatlas/GBIF; occurrence=5052247678; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,dark,wavy,0.177,0.45,0.013,0.036,0.008,0.0,olive-brown,True,black,smooth
FO.BE_035,FO.BE,easy,above,paired above_idx=2 below_idx=1; polypore;bracket;wood; source=Svampeatlas/GBIF; occurrence=5106480117; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,bright,wavy,0.032,0.003,0.002,0.158,0.026,0.122,grey,True,grey,smooth
FO.BE_035,FO.BE,easy,below,paired above_idx=2 below_idx=1; polypore;bracket;wood; source=Svampeatlas/GBIF; occurrence=5106480117; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,flat,0.342,0.037,0.005,0.16,0.051,0.042,grey,True,grey,smooth
GA.MA_043,GA.MA,ood,above,paired above_idx=1 below_idx=2; extremely_toxic;small_brown_gills;confusing_pair; source=Svampeatlas/GBIF; occurrence=5898634047; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view; orientation_corrected: swapped above/below after visual audit,medium,flat,0.044,0.164,0.008,0.109,0.07,0.004,yellow-green,True,yellow-green,smooth
GA.MA_043,GA.MA,ood,below,paired above_idx=1 below_idx=2; extremely_toxic;small_brown_gills;confusing_pair; source=Svampeatlas/GBIF; occurrence=5898634047; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view; orientation_corrected: swapped above/below after visual audit,medium,wavy,0.145,0.194,0.011,0.199,0.015,0.018,black,True,yellow,smooth
GY.ES_041,GY.ES,ood,above,paired above_idx=1 below_idx=2; toxic;false_morel;brain_like;confusing_pair; source=Svampeatlas/GBIF; occurrence=4847336116; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,wavy,0.031,0.114,0.0,0.053,0.005,0.19,grey,True,grey,scaly
GY.ES_041,GY.ES,ood,below,paired above_idx=1 below_idx=2; toxic;false_morel;brain_like;confusing_pair; source=Svampeatlas/GBIF; occurrence=4847336116; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,bright,wavy,0.024,0.011,0.009,0.097,0.056,0.253,tan,True,grey,fibrous
HY.PS_019,HY.PS,confusing,above,paired above_idx=1 below_idx=2; confusing_pair;orange;gills; source=Svampeatlas/GBIF; occurrence=5052245313; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,wavy,0.072,0.169,0.004,0.104,0.036,0.027,grey,True,black,fibrous
HY.PS_019,HY.PS,confusing,below,paired above_idx=1 below_idx=2; confusing_pair;orange;gills; source=Svampeatlas/GBIF; occurrence=5052245313; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,wavy,0.111,0.174,0.009,0.128,0.026,0.056,tan,True,olive-brown,smooth
HY.RE_049,HY.RE,ood,above,paired above_idx=2 below_idx=1; teeth;hedgehog;edible; source=Svampeatlas/GBIF; occurrence=5898630302; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,flat,0.24,0.412,0.075,0.258,0.16,0.006,orange,True,olive-brown,smooth
HY.RE_049,HY.RE,ood,below,paired above_idx=2 below_idx=1; teeth;hedgehog;edible; source=Svampeatlas/GBIF; occurrence=5898630302; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,dark,wavy,0.171,0.576,0.048,0.124,0.071,0.0,olive-brown,True,black,smooth
LA.HE_022,LA.HE,easy,above,paired above_idx=3 below_idx=1; milkcap;latex;toxic; source=Svampeatlas/GBIF; occurrence=4940908615; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,wavy,0.094,0.125,0.003,0.212,0.075,0.119,olive-brown,True,orange,fibrous
LA.HE_022,LA.HE,easy,below,paired above_idx=3 below_idx=1; milkcap;latex;toxic; source=Svampeatlas/GBIF; occurrence=4940908615; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,bright,wavy,0.126,0.002,0.027,0.229,0.057,0.273,tan,True,olive-brown,smooth
LY.PE_037,LY.PE,puffball,above,paired above_idx=2 below_idx=1; puffball;round;spines; source=Svampeatlas/GBIF; occurrence=5898626078; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,wavy,0.216,0.134,0.004,0.136,0.007,0.225,white,True,orange,smooth
LY.PE_037,LY.PE,puffball,below,paired above_idx=2 below_idx=1; puffball;round;spines; source=Svampeatlas/GBIF; occurrence=5898626078; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,wavy,0.212,0.224,0.017,0.153,0.054,0.085,olive-brown,True,olive-brown,smooth
PL.OS_045,PL.OS,ood,above,paired above_idx=1 below_idx=2; oyster;shelf;gills;wood; source=Svampeatlas/GBIF; occurrence=5052245440; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,wavy,0.09,0.084,0.002,0.099,0.026,0.211,white,True,grey,smooth
PL.OS_045,PL.OS,ood,below,paired above_idx=1 below_idx=2; oyster;shelf;gills;wood; source=Svampeatlas/GBIF; occurrence=5052245440; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,wavy,0.157,0.024,0.001,0.078,0.003,0.137,grey,True,olive-brown,smooth
RA.BO_025,RA.BO,coral,above,paired above_idx=1 below_idx=2; coral;branched;edible; source=Svampeatlas/GBIF; occurrence=4465862206; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,wavy,0.029,0.105,0.0,0.062,0.003,0.072,yellow-green,True,white,fibrous
RA.BO_025,RA.BO,coral,below,paired above_idx=1 below_idx=2; coral;branched;edible; source=Svampeatlas/GBIF; occurrence=4465862206; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,wavy,0.103,0.141,0.0,0.119,0.001,0.116,olive-brown,True,grey,fibrous
RA.PA_028,RA.PA,coral,above,paired above_idx=1 below_idx=3; coral;branched;toxic;confusing_pair; source=Svampeatlas/GBIF; occurrence=3343249350; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,wavy,0.344,0.255,0.019,0.296,0.001,0.0,yellow,True,orange,fibrous
RA.PA_028,RA.PA,coral,below,paired above_idx=1 below_idx=3; coral;branched;toxic;confusing_pair; source=Svampeatlas/GBIF; occurrence=3343249350; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,wavy,0.175,0.343,0.007,0.169,0.001,0.002,olive-brown,True,olive-brown,fibrous
RU.BA_056,RU.BA,ood,above,paired above_idx=2 below_idx=1; above=cap/top view; below=underside/gills view; source=Svampeatlas/GBIF; occurrence=4940915542,medium,wavy,0.33,0.18,0.104,0.334,0.257,0.009,orange,True,olive-brown,fibrous
RU.BA_056,RU.BA,ood,below,paired above_idx=2 below_idx=1; above=cap/top view; below=underside/gills view; source=Svampeatlas/GBIF; occurrence=4940915542,medium,wavy,0.114,0.485,0.011,0.075,0.013,0.069,olive-brown,True,brown,smooth
RU.IN_054,RU.IN,ood,above,paired above_idx=1 below_idx=2; above=cap/top view; below=underside/gills view; source=Svampeatlas/GBIF; occurrence=5052267553,medium,wavy,0.077,0.363,0.019,0.174,0.111,0.022,black,True,yellow,fibrous
RU.IN_054,RU.IN,ood,below,paired above_idx=1 below_idx=2; above=cap/top view; below=underside/gills view; source=Svampeatlas/GBIF; occurrence=5052267553,dark,wavy,0.02,0.575,0.0,0.015,0.0,0.068,black,True,black,smooth
SP.CR_039,SP.CR,confusing,above,paired above_idx=1 below_idx=2; cauliflower;branched;edible; source=Svampeatlas/GBIF; occurrence=5898627808; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,wavy,0.065,0.14,0.001,0.069,0.004,0.122,olive-brown,True,yellow-green,fibrous
SP.CR_039,SP.CR,confusing,below,paired above_idx=1 below_idx=2; cauliflower;branched;edible; source=Svampeatlas/GBIF; occurrence=5898627808; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,wavy,0.098,0.128,0.001,0.1,0.003,0.121,tan,True,white,smooth
